"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"ZZ","Jim Drain","28612","(American, born 1975)","(American)","(1975)","(0)","(Male)","2003","Felt-tip pen and synthetic polymer paint on cut-and-pasted paper","21 x 28 1/2"" (53.3 x 72.4 cm)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","1579.2005","Drawing","Drawings & Prints",2005-05-10,"Y",95841,"http://www.moma.org/collection/works/95841","http://www.moma.org/media/W1siZiIsIjExNzQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=31edf0008274f6f3",NA,NA,NA,53.3401,NA,NA,72.3901,NA,NA
"Little Woman","John Sloan","5471","(American, 1871–1951)","(American)","(1871)","(1951)","(Male)","January 1, 1920","Etching",NA,"Gift of Abby Aldrich Rockefeller","1346.1940","Print","Drawings & Prints",1940-04-05,"N",76435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hairbrush and Clothes Brush","Unknown Designer","6011","(Nationality unknown)","(Nationality unknown)","(0)","(0)","()","c. 1900","Sterling silver",".1 (hairbrush): 8 1/2 x 2 1/2"" (21.6 x 6.4 cm)
.2 (clothes brush): 1 3/8 x 5"" (3.5 x 12.7 cm)","Purchase Fund","106.1957.1-2","Design","Architecture & Design",1957-05-15,"Y",2131,"http://www.moma.org/collection/works/2131","http://www.moma.org/media/W1siZiIsIjIyNzk0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=856de0caadf81cbb",NA,NA,NA,NA,21.6,NA,6.4,NA,NA
"Le Soleil","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1947","Engraving","plate: 6 15/16 x 4 7/8"" (17.6 x 12.4cm); sheet: 9 1/16 x 6 7/16"" (23 x 16.4 cm)","Gift of the artist","253.1992.5","Print","Drawings & Prints",1992-05-20,"Y",65315,"http://www.moma.org/collection/works/65315","http://www.moma.org/media/W1siZiIsIjE1NDc3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41a6c07914115644",NA,NA,NA,17.6,NA,NA,12.4,NA,NA
"S.O.S. Smoke Signals from Underground (SOS. Senyals de fum des d'un subsòl)","Antoni Llena","67458","(Spanish, born 1942)","(Spanish)","(1942)","(0)","(Male)","2016","Pastel and colored pencil on paper","10 × 14 1/2"" (25.4 × 36.8 cm)","Gift of the artist","310.2017.1","Drawing","Drawings & Prints",NA,"Y",222370,"http://www.moma.org/collection/works/222370","http://www.moma.org/media/W1siZiIsIjM5OTU2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cea383156ff2a202",NA,0,NA,25.4000508001,NA,NA,36.8300736601,NA,NA
"Origami Pleat Scarf","Reiko Sudo","7045","(Japanese, born 1953)","(Japanese)","(1953)","(0)","(Female)","1997","Polyester","17 1/4 x 59"" (43.8 x 149.9 cm)","Gift of the designer","303.1999","Design","Architecture & Design",1999-06-30,"Y",3241,"http://www.moma.org/collection/works/3241","http://www.moma.org/media/W1siZiIsIjI0MDEwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b412fd6b660a07fa",NA,NA,NA,43.8151,NA,NA,149.8603,NA,NA
"Film Still from the Sultan Family Home Movies","Larry Sultan","5727","(American, 1946–2009)","(American)","(1946)","(2009)","(Male)","1943-72","Chromogenic color print, printed 1985","16 1/2 × 21 1/4"" (42 × 54 cm)","Gift of Lewis Baltz","1283.2001.12","Photograph","Photography",2001-04-12,"N",57996,NA,NA,NA,NA,NA,42,NA,NA,54,NA,NA
"Street Angel","Frank Borzage","32192","(American, 1893–1962)","(American)","(1893)","(1962)","(Male)","1928","35mm film (black and white, sound)","102 min.","Gift of Twentieth Century-Fox. Preserved with funding from the Louis B. Mayer Foundation","2788","Film","Film",1971-06-01,"Y",107337,"http://www.moma.org/collection/works/107337","http://www.moma.org/media/W1siZiIsIjExMzA4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a5bbf2bffeae98e4",NA,NA,NA,NA,NA,NA,NA,NA,6120
"PARIS TO HELEN (plate, page 209) from HÉROÏDES","André Derain","1500","(French, 1880–1954)","(French)","(1880)","(1954)","(Male)","1938","Etching, printed in black","irreg. composition  8 1/8 x 6"" (20.6 x 15.3 cm)","The Louis E. Stern Collection","794.1964.12","Illustrated Book","Drawings & Prints",1964-10-06,"N",24368,NA,NA,NA,NA,NA,20.6,NA,NA,15.3,NA,NA
"Mechanical","George Maciunas","21398","(American, born Lithuania. 1931–1978)","(American)","(1931)","(1978)","(Male)",NA,NA,NA,"The Gilbert and Lila Silverman Fluxus Collection Gift","FC3086","(not assigned)","Fluxus Collection",2008-10-08,"N",136824,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA
"Energy","Mangelos (Dimitrije Bašičević)","29439","(Croatian, 1921–1987)","(Croatian)","(1921)","(0)","(Male)","1977-1978","Synthetic polymer paint on wood panel","21 1/2 x 29 1/2"" (54.6 x 74.9 cm)","Gift of Agnes Gund and Daniel Shapiro","975.2005","Painting","Painting & Sculpture",2005-12-12,"Y",101474,"http://www.moma.org/collection/works/101474",NA,NA,NA,NA,54.6101,NA,NA,74.9301,NA,NA
"Tragic Figure","Arthur B. Davies","1402","(American, 1862–1928)","(American)","(1862)","(1928)","(Male)","1919-20","Etching with aquatint","plate: 5 7/8 x 8 7/8"" (15 x 22.5cm)","Gift of Abby Aldrich Rockefeller","803.1940","Print","Drawings & Prints",1940-04-05,"Y",74185,"http://www.moma.org/collection/works/74185","http://www.moma.org/media/W1siZiIsIjI2MjUwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e2868b0cdd990767",NA,NA,NA,15,NA,NA,22.5,NA,NA
"Untitled","William Pettet","4586","(American, born 1942)","(American)","(1942)","(0)","(Male)","February 6-March 16, 1970","Lithograph","composition  18 x 37 15/16"" (45.8 x 96.5 cm)
sheet  18 x 37 15/16"" (45.8 x 96.5 cm)","Gift of Kleiner, Bell & Co.","330.1970","Print","Drawings & Prints",1974-01-10,"N",67061,NA,NA,NA,NA,NA,45.8,NA,NA,96.5,NA,NA
"Plate 6 of 9, from the illustrated book, He Disappeared into Complete Silence","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1946-1947","Drypoint","plate: 6 7/8 x 4 13/16"" (17.4 x 12.3 cm); sheet: 9 1/2 x 6 7/8"" (24 x 17.4 cm)","Gift of the artist","413.1993","Print","Drawings & Prints",1993-11-17,"Y",68675,"http://www.moma.org/collection/works/68675","http://www.moma.org/media/W1siZiIsIjE2NDE2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c9a3c979ae690a49",NA,NA,NA,17.4,NA,NA,12.3,NA,NA
"La Fantôme de la Liberté","Luis Buñuel","31258","(Spanish, 1900–1983)","(Spanish)","(1900)","(1983)","(Male)","1974",NA,NA,"Department of Film Purchase, 1998","F2377","Work on Paper","Film",NA,"N",152052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Duke and Duchess of Windsor at the Opening of Wildenstein Gallery, New York","Ron Galella","32885","(American, born 1931)","(American)","(1931)","(0)","(Male)","May 21, 1968","Gelatin silver print, printed 2007","9 5/8 × 8 1/16"" (24.4 × 20.4 cm)","Gift of the artist","612.2007","Photograph","Photography",2007-10-11,"Y",110039,"http://www.moma.org/collection/works/110039","http://www.moma.org/media/W1siZiIsIjE0MDI0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4a99639cb57b349f",NA,NA,NA,24.4,NA,NA,20.4,NA,NA
"We Must Become Specialists, Masters of Our Craft (Nado samim stat’ spetsialistami,  khoziaevami dela)","Aleksandr Deineka","24385","(Russian, 1899–1969)","(Russian)","(1899)","(1969)","(Male)","1931","Lithograph","56 3/4 × 40 1/8"" (144.1 × 101.9 cm)","The Merrill C. Berman Collection. Acquired through the generosity of Alice and Tom Tisch, Jo Carole and Ronald S. Lauder, Sue and Edgar Wachenheim III, David Booth, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, Jack Shear, the Patricia Bonfield Endowed Acquisition Fund for the Design Collection, Daniel and Jane Och, The Orentreich Family Foundation, Emily Rauh Pulitzer, The Modern Women's Fund; and by exchange: Gift of Jean Dubuffet in honor of Mr. and Mrs. Ralph Colin, The Judith Rothschild Foundation Contemporary Drawings Collection, and the Richard S. Zeisler Bequest","586.2018","Design","Architecture & Design",2018-03-21,"Y",280213,"http://www.moma.org/collection/works/280213","http://www.moma.org/media/W1siZiIsIjQ0NTkzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d85c84b9448ffce",NA,0,NA,144.1452882906,NA,NA,101.9177038354,NA,NA
"""2 PEOPLE/2 PLACES/2 TIMES"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET","Richard Nonas","4330","(American, born 1936)","(American)","(1936)","(0)","(Male)","1972",NA,"irreg composition  5 13/16 x 4 3/8"" (14.8 x 11.1 cm)","John B. Turner Fund","23.1973.21","Print","Drawings & Prints",1973-01-04,"N",60300,NA,NA,NA,NA,NA,14.8,NA,NA,11.1,NA,NA
"Untitled From the series Indexes (Indicios)","Anna Maria Maiolino","8477","(Brazilian, born Italy 1942)","(Brazilian)","(1942)","(0)","(Female)","2000","Black thread sewn to paper","12 x 8 1/2"" (30.5 x 21.6 cm)","Gift of Michael Maiolino in memoriam of Sofia Gegner","2424.2001","Drawing","Drawings & Prints",2001-10-11,"Y",82270,"http://www.moma.org/collection/works/82270","http://www.moma.org/media/W1siZiIsIjE3MTk1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bb339ba0283a765f",NA,NA,NA,30.4801,NA,NA,21.59,NA,NA
"Street Doctors","John Thomson","5863","(British, 1837–1921)","(British)","(1837)","(1921)","(Male)","1877","Woodburytype","4 1/2 × 3 3/8"" (11.5 × 8.6 cm)","Gift of Edward Steichen","200.1972.7","Photograph","Photography",1972-05-02,"N",92725,NA,NA,NA,NA,NA,27,NA,NA,19.2,NA,NA
"Kippenberger sans peine | Kippenberger leicht gemacht,","Martin Kippenberger","3111","(German, 1953–1997)","(German)","(1953)","(1997)","(Male)","1997","Catalogue, lithograph printed","page (each): 9 7/16 × 6 5/8"" (23.9 × 16.8 cm); overall (closed): 9 7/16 × 6 3/4 × 7/16"" (24 × 17.2 × 1.1 cm)","Committee on Drawings and Prints Fund and through the generosity of Philip E. Aarons and Shelley Fox Aarons","662.2015","Illustrated Book","Drawings & Prints",2015-06-03,"Y",195252,"http://www.moma.org/collection/works/195252","http://www.moma.org/media/W1siZiIsIjMzMjczNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2866059693142a2e",NA,NA,NA,23.9,NA,NA,16.8,NA,NA
"Autumn (Automne) from L'Estampe moderne, no. 1","Émile-René Ménard","20503","(French, 1862–1930)","(French)","(1862)","(1930)","()","1897","One from a set from four lithographs","composition: 10 1/4 x 13 5/8"" (26 x 34.6 cm); sheet: 12 1/16 × 16"" (30.6 × 40.7 cm)","Gift of Mr. and Mrs. E. Powis Jones","342.1958.3","Print","Drawings & Prints",1958-12-19,"Y",67288,"http://www.moma.org/collection/works/67288","http://www.moma.org/media/W1siZiIsIjIzNzUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d6abb5384d8a6bb",NA,NA,NA,26,NA,NA,34.6,NA,NA
"Untitled from Hanging Corridors","Cristina Iglesias","28972","(Spanish, born 1956)","(Spanish)","(1956)","(0)","(Female)","2008","One from a portfolio of eight etching, aquatint, and drypoints with digital print and chine collé","plate: 6 3/4 × 10 5/16"" (17.2 × 26.2 cm); sheet: 14 15/16 × 16 15/16"" (38 × 43.1 cm)","Acquired through the generosity of John Baldessari, Catie and Donald Marron, and Mary M. and Sash A. Spencer","1667.2015.6","Print","Drawings & Prints",2015-10-27,"Y",199505,"http://www.moma.org/collection/works/199505","http://www.moma.org/media/W1siZiIsIjM0MDQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ea49fa6d3b8ee91",NA,NA,NA,17.2,NA,NA,26.2,NA,NA
"Brian Eno and David Byrne, Bush of Ghosts","Unknown Designer","6011","(Nationality unknown)","(Nationality unknown)","(0)","(0)","()","1981","Lithograph","24 x 24"" (61 x 61 cm)","Gift of Lawrence Benenson","315.2012","Design","Architecture & Design",2012-02-09,"Y",156032,"http://www.moma.org/collection/works/156032","http://www.moma.org/media/W1siZiIsIjI1MTQzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=484dc52fbd6b94bc",NA,NA,NA,60.9601219202,NA,NA,60.9601219202,NA,NA
"The Constellation - Ten Flemish Actors","Michaël Borremans","25181","(Belgian, born 1963)","(Belgian)","(1963)","(0)","(Male)","2000","Pencil, watercolor, and varnish on paper","11 x 8 3/4"" (28 x 22.2 cm)","Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis A. Roach, Directors
","297.2002","Drawing","Drawings & Prints",2002-10-15,"Y",86487,"http://www.moma.org/collection/works/86487","http://www.moma.org/media/W1siZiIsIjE2NDEyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=713e09f202c609f5",NA,NA,NA,28,NA,NA,22.225,NA,NA
"Das Stichwort: Magdeburger Blätter für Bühne, Musik und Gestaltende Arbeit, No. 14, Gartenkunst","Xanti Schawinsky","5208","(American, born Switzerland. 1904–1979)","(American)","(1904)","(1979)","(Male)","1930","Letterpress","9 3/4 x 6 15/16"" (24.8 x 17.6 cm)","Jan Tschichold Collection, Gift of Philip Johnson","888.1999","Design","Architecture & Design",1999-12-10,"Y",8333,"http://www.moma.org/collection/works/8333","http://www.moma.org/media/W1siZiIsIjEwNjgwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=d13e912fd44249b2",NA,NA,NA,24.8,NA,NA,17.6,NA,NA
"Icy Pool on Bald Mountain, Yosemite National Park, California","Ansel Adams","60","(American, 1902–1984)","(American)","(1902)","(1984)","(Male)","c. 1947","Gelatin silver print, printed 1978","10 13/16 × 6 11/16"" (27.5 × 17 cm)","Gift of the artist","372.1980","Photograph","Photography",1980-03-13,"N",52004,NA,NA,NA,NA,NA,27.5,NA,NA,17,NA,NA
"Untitled","Chris Ofili","7967","(British, born 1968)","(British)","(1968)","(0)","(Male)","1998","Watercolor and pencil on paper","9 1/2 x 6 1/8"" (24 x 16 cm)","Gift of Martin and Rebecca Eisenberg","16.1999.6","Drawing","Drawings & Prints",1999-02-25,"Y",404515,"http://www.moma.org/collection/works/404515","http://www.moma.org/media/W1siZiIsIjIwMzM4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=653524858ee02e2a",NA,NA,NA,24.1,NA,NA,15.6,NA,NA
"Untitled","Unknown photographer","8595",NA,"()","(0)","(0)","()","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","Gift of Peter J. Cohen","767.2017.261","Photograph","Photography",2017-10-26,"Y",277260,"http://www.moma.org/collection/works/277260","http://www.moma.org/media/W1siZiIsIjQzOTcxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9857271abd75ea13",NA,NA,NA,5.08001016,NA,NA,5.08001016,NA,NA
"Farmers Prefer Shell - You Can Be Sure of Shell","Denis Constanduros","1223","(Nationality unknown)","(Nationality unknown)","(0)","(0)","(Male)","1900-1937","Poster","30 x 45"" (76.2 x 114.3cm)","Gift of Shell - Mex B P","399.1937","Design","Architecture & Design",1937-11-22,"N",6849,NA,NA,NA,NA,NA,76.2,NA,NA,114.3,NA,NA
"The Sparrow-Hawk (L'Epervier) (plate, folio 19) from Histoires Naturelles","Henri de Toulouse-Lautrec","5910","(French, 1864–1901)","(French)","(1864)","(1901)","(Male)","1897, published 1899","One from an illustrated book with 23 transfer lithographs (including wrapper front)","irreg. composition  8 3/4 x 8 1/2"" (22.2 x 21.6 cm)","The Louis E. Stern Collection","1068.1964.8","Illustrated Book","Drawings & Prints",1964-10-06,"N",31182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue Handkerchief, Red Handkerchief","Hal Fischer","69495","(American, born 1950)","(American)","(1950)","(0)","(Male)","1977","Pigmented inkjet print, printed 2014","12 3/8 × 18 1/2"" (31.4 × 47 cm)
","Geraldine Murphy Fund","714.2017.2","Photograph","Photography",2017-10-26,"Y",273171,"http://www.moma.org/collection/works/273171","http://www.moma.org/media/W1siZiIsIjQxMDc0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7d578068aabda1c8",NA,NA,NA,31.4325628651,NA,NA,46.9900939802,NA,NA
"Bleeker Street","Glenn O. Coleman","1182","(American, 1887–1932)","(American)","(1887)","(1932)","(Male)","1928","Lithograph",NA,"Gift of Abby Aldrich Rockefeller","716.1940","Print","Drawings & Prints",1940-04-05,"N",73427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Design for the ballet The Cave of Sleep","Pavel Tchelitchew","5821","(American, born Russia. 1898–1957)","(American)","(1898)","(1957)","(Male)","1941","Gouache on paper","11 x 14"" (27.9 x 35.6 cm)","Gift of the artist","64.1942.3","Drawing","Drawings & Prints",1942-01-01,"Y",85419,"http://www.moma.org/collection/works/85419","http://www.moma.org/media/W1siZiIsIjQzNjgxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=70bae2d1019df421",NA,NA,NA,27.9401,NA,NA,35.5601,NA,NA
"Headpiece (page 49) from THE SUICIDE CLUB","Karl Schrag","5268","(American, 1912–1995)","(American)","(1912)","(1995)","(Male)","1941",NA,"composition  1 7/16 x 4 1/2"" (3.7 x 11.5 cm)","Gift of Mrs. Stanley Resor","425.1958.9","Illustrated Book","Drawings & Prints",1959-03-02,"N",17019,NA,NA,NA,NA,NA,3.7,NA,NA,11.5,NA,NA
"Enter the Faces Variation from Pockets of Wheat","James Siena","23005","(American, born 1957)","(American)","(1957)","(0)","(Male)","1996","Ink and synthetic polymer paint on paper","60 × 40"" (152.4 × 101.6 cm)","Gift of AG Rosen and Deborah Sonzogni","1718.2015.5","Drawing","Drawings & Prints",2015-10-27,"Y",197026,"http://www.moma.org/collection/works/197026","http://www.moma.org/media/W1siZiIsIjM2MDA3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3cb6e34c53e6fec4",NA,NA,NA,152.4003048006,NA,NA,101.6002032004,NA,NA
"Untitled","Gilles Peress","4554","(French, born 1946)","(French)","(1946)","(0)","(Male)","1994","Gelatin silver print","36 × 55"" (91.4 × 139.7 cm)","Gift of Susan and Peter MacGill","45.2007.4","Photograph","Photography",2007-02-15,"Y",105828,"http://www.moma.org/collection/works/105828","http://www.moma.org/media/W1siZiIsIjExNDY0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=633eca585e8b0814",NA,NA,NA,91.4402,NA,NA,139.7003,NA,NA
"How to Kill Your Mother","Marlene Dumas","7521","(South African, born 1953)","(South African)","(1953)","(0)","(Female)","1989","Ink and colored pencil on paper","17 1/2 x 12 3/8"" (44.5 x 31.4 cm)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","1581.2005","Drawing","Drawings & Prints",2005-05-10,"Y",95843,"http://www.moma.org/collection/works/95843","http://www.moma.org/media/W1siZiIsIjExMTA2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d9d2f3ad6265db6d",NA,NA,NA,44.4501,NA,NA,31.4326,NA,NA
