id,nItems,mostFreqStore,mostFreqCat,nCats,preferredBrand,nBrands,nPurch,salesLast3Mon,salesThisMon,daysSinceLastPurch,meanItemPrice,meanShoppingCartValue,customerDuration
46,157,Boston,Pets,40,Bo,68,20,1279.11,544.93,2,8.147197452,63.9555,677
47,99,Jersey,Packagedfood,24,Veina,51,23,1325.19,677.24,9,13.38575758,57.61695652,819
48,241,Boston,Shoes,45,Nilima,112,34,1669.99,716.02,4,6.929419087,49.11735294,539
49,73,Boston,Shoes,16,Bo,30,20,1000.5,543.37,2,13.70547945,50.025,831
50,50,Boston,Baby,20,Moone,32,3,819.84,207.85,55,16.3968,273.28,620
51,375,Seattle,Bakery,49,Bo,126,68,1838.97,868.37,1,4.90392,27.04367647,639
52,125,Jersey,Baby,45,Moone,72,5,1119.76,637.46,11,8.95808,223.952,907
53,172,ColoradoSprings,Pets,43,Bo,83,23,1309.64,648.37,3,7.614186047,56.94086957,551
54,36,Boston,Shoes,15,Alekto,31,2,841.11,730.1,67,23.36416667,420.555,723
55,290,Boston,Alcohol,52,Bo,110,13,1620.55,890.76,9,5.588103448,124.6576923,800
56,171,SanDiego,Packagedfood,39,Veina,73,29,1421.31,637.18,1,8.311754386,49.01068966,626
57,276,Boston,Freshfood,46,Nilima,123,29,1849.95,982.35,1,6.702717391,63.79137931,782
58,16,SanDiego,Alcohol,11,Bo,14,5,492.8,373.13,44,30.8,98.56,756
59,65,ColoradoSprings,Alcohol,25,Bo,33,27,1091.23,451.99,2,16.78815385,40.41592593,786
60,80,Honolulu,Shoes,29,Nilima,44,15,1191.26,348.46,3,14.89075,79.41733333,504
61,107,Columbus,Clothes,28,Bo,49,29,1054.28,425.54,2,9.853084112,36.35448276,470
62,118,Columbus,Shoes,33,Bo,63,25,1143.31,583.8,2,9.689067797,45.7324,740
63,155,Denver,Beverages,41,Bo,83,18,1473.57,608.23,19,9.506903226,81.865,572
64,216,Honolulu,Shoes,40,Bo,80,38,1478.43,696.99,1,6.844583333,38.90605263,660
65,79,Columbus,Frozenfood,26,Bo,40,23,1017.23,360.42,2,12.87632911,44.2273913,548
66,74,ColoradoSprings,Packagedfood,25,Bo,39,7,900.93,424.45,13,12.17472973,128.7042857,725
67,218,ColoradoSprings,Alcohol,52,Bo,97,12,1477.79,735.78,14,6.778853211,123.1491667,653
68,157,Denver,Shoes,42,Nilima,83,16,1272.6,788.5,2,8.105732484,79.5375,702
69,196,ColoradoSprings,Baby,42,Bo,74,14,1292.24,100,7,6.593061224,92.30285714,0
70,294,Seattle,Freshfood,44,Bo,72,43,1588.94,806.26,1,5.404557823,36.95209302,711
71,438,Jersey,Bakery,57,Bo,193,43,2085.15,928.63,4,4.760616438,48.49186047,537
72,83,Boston,Shoes,33,Nilima,43,4,1077.87,534.66,12,12.98638554,269.4675,536
73,338,Seattle,Frozenfood,55,Bo,153,33,1756.85,784.83,2,5.197781065,53.23787879,648
74,45,Boston,Baby,18,Veina,30,8,828.19,366.77,7,18.40422222,103.52375,437
75,74,Boston,Baby,24,Bo,49,18,1095.8,542.37,3,14.80810811,60.87777778,712
77,257,Boston,Shoes,45,Nilima,140,26,1629.75,605.97,3,6.341439689,62.68269231,604
78,31,Boston,Alcohol,20,Veina,29,4,773.83,322.14,14,24.96225806,193.4575,659
79,34,Columbus,Bakery,17,Nilima,29,13,794.11,492.09,3,23.35617647,61.08538462,651
80,51,Seattle,Alcohol,19,Bo,29,19,853.42,494.19,2,16.73372549,44.91684211,518
81,203,Seattle,Shoes,38,Veina,94,12,1278.63,597.75,7,6.298669951,106.5525,673
82,204,Boston,Alcohol,35,Bo,88,25,1402.74,672.84,1,6.876176471,56.1096,609
83,13,Boston,Bakery,6,Veina,11,7,601.93,437.1,3,46.30230769,85.99,783
84,113,ColoradoSprings,Packagedfood,31,Bo,49,19,880.41,354.98,1,7.791238938,46.33736842,699
86,162,Boston,Shoes,38,Nilima,78,42,1329.2,560.11,1,8.204938272,31.64761905,839
87,423,Boston,Shoes,59,Bo,166,35,1745.11,687.49,1,4.125555556,49.86028571,392
88,29,SanDiego,Baby,17,Veina,23,8,735.21,395.94,7,25.35206897,91.90125,549
89,325,Boston,Packagedfood,47,Veina,118,49,1753.02,723.39,2,5.393907692,35.77591837,633
90,88,Boston,Packagedfood,22,Bo,47,21,983,427.59,3,11.17045455,46.80952381,740
91,57,Orlando,Baby,23,Veina,38,7,1054.7,514.92,5,18.50350877,150.6714286,538
92,230,Denver,Bakery,38,Bo,105,37,1634.27,945.41,2,7.105521739,44.16945946,885
94,165,Boston,Baby,42,Bo,82,13,1462.43,707.3,2,8.863212121,112.4946154,752
96,93,Boston,Alcohol,29,Bo,42,9,1122.73,276.94,13,12.07236559,124.7477778,351
98,127,Boston,Alcohol,36,Bo,64,6,1124.36,524.2,9,8.853228346,187.3933333,662
99,62,Columbus,Alcohol,28,Bo,36,15,969.04,531.19,7,15.62967742,64.60266667,632
100,664,Seattle,Frozenfood,65,Bo,223,43,2089.93,718.27,2,3.14748494,48.60302326,461
101,179,Boston,Baby,38,Veina,77,41,1256.05,679.74,1,7.017039106,30.63536585,702
102,115,Boston,Bakery,29,Nilima,77,35,1444.29,501.99,1,12.55904348,41.26542857,454
103,234,Boston,Alcohol,38,Bo,82,54,1431.1,703.83,2,6.115811966,26.50185185,674
104,91,Honolulu,Freshfood,31,Bo,54,17,1028.78,460.2,1,11.30527473,60.51647059,665
105,156,Boston,Beverages,31,Bo,52,25,1270.79,558.37,3,8.146089744,50.8316,397
106,116,Boston,Frozenfood,29,Nilima,72,10,1134.25,619.61,7,9.778017241,113.425,824
107,713,Boston,Alcohol,58,Bo,196,57,1929.16,871.35,2,2.70569425,33.84491228,491
108,162,Boston,Alcohol,32,Bo,69,38,1389.52,784.43,1,8.577283951,36.56631579,758
109,38,Boston,Baby,19,Bo,25,7,869.83,377.35,9,22.89026316,124.2614286,434
110,115,Seattle,Shoes,33,Bo,62,14,1194.85,616.99,1,10.39,85.34642857,820
111,90,Jersey,Beverages,32,Bo,60,19,1144.31,435.38,2,12.71455556,60.22684211,551
112,32,Columbus,Baby,24,Bo,26,1,744.38,575.65,38,23.261875,744.38,542
113,188,Jersey,Shoes,47,Medeia,103,17,1451.85,636.76,1,7.722606383,85.40294118,684
114,20,Columbus,Baby,11,Veina,9,11,621.85,377.79,2,31.0925,56.53181818,648
115,517,Seattle,Frozenfood,57,Bo,187,53,1866.75,740.15,1,3.61073501,35.22169811,539
116,208,ColoradoSprings,Alcohol,43,Nilima,90,21,1377.79,674.28,6,6.623990385,65.60904762,788
117,168,Boston,Packagedfood,39,Bo,92,26,1319.22,726.44,1,7.8525,50.73923077,695
118,142,Jersey,Bakery,40,Medeia,80,30,1483.44,472.02,1,10.44676056,49.448,435
119,86,Seattle,Packagedfood,22,Kellest,34,16,1134.75,531.9,6,13.19476744,70.921875,663
120,125,Orlando,Alcohol,39,Bo,72,9,1125.64,467.32,17,9.00512,125.0711111,787
121,168,Boston,Frozenfood,43,Bo,89,22,1647.09,589.03,2,9.804107143,74.86772727,731
122,150,SanDiego,Baby,34,Veina,63,8,1170.72,637.6,27,7.8048,146.34,677
123,303,Boston,Baby,32,Bo,87,54,1336.81,691.66,2,4.411914191,24.75574074,787
124,171,Jersey,Shoes,27,Veina,57,9,1446.66,767.01,2,8.46,160.74,760
125,90,Seattle,Frozenfood,28,Nilima,51,10,1311.05,514.47,4,14.56722222,131.105,592
126,317,Seattle,Shoes,45,Nilima,106,19,1616.07,728.92,7,5.098012618,85.05631579,641
127,88,Seattle,Baby,27,Bo,53,14,1132.93,299.81,1,12.87420455,80.92357143,474
128,116,Jersey,Packagedfood,37,Veina,63,12,1277.36,562.95,2,11.01172414,106.4466667,671
129,76,Denver,Alcohol,26,Bo,49,21,942.73,386.24,4,12.40434211,44.89190476,672
130,284,Columbus,Packagedfood,49,Bo,132,37,1535.87,664.35,2,5.407992958,41.51,519
131,273,Columbus,Frozenfood,42,Medeia,90,63,1741.23,690.97,2,6.378131868,27.63857143,495
132,46,Denver,Baby,18,Bo,23,2,839,776.3,3,18.23913043,419.5,939
133,156,ColoradoSprings,Alcohol,35,Bo,61,19,1403.9,640.16,1,8.999358974,73.88947368,747
134,226,Denver,Frozenfood,47,Bo,89,31,1432.45,590.23,1,6.338274336,46.20806452,585
135,9,Columbus,Baby,7,Bo,8,2,470.29,250.29,74,52.25444444,235.145,547
136,189,Seattle,Alcohol,38,Bo,81,28,1406.34,731.96,11,7.440952381,50.22642857,843
137,108,Orlando,Shoes,32,Nilima,47,16,1116.23,597.56,3,10.33546296,69.764375,759
138,204,Columbus,Bakery,31,Bo,85,22,1494.44,744.07,1,7.325686275,67.92909091,636
139,32,Columbus,Beverages,20,Bo,21,2,839.77,566.65,17,26.2428125,419.885,682
140,146,Columbus,Shoes,38,Bo,70,29,1215.68,498.39,4,8.326575342,41.92,612
142,294,Columbus,Alcohol,45,Nilima,133,26,1573.5,530.67,1,5.352040816,60.51923077,445
143,316,Columbus,Shoes,53,Bo,124,21,1672.21,784.24,1,5.291803797,79.62904762,690
144,184,Columbus,Alcohol,44,Bo,79,24,1373.52,527.46,3,7.464782609,57.23,492
145,67,Honolulu,Baby,24,Bo,35,18,860.88,345.35,14,12.84895522,47.82666667,654
146,133,Columbus,Frozenfood,39,Bo,60,9,1153.37,542.06,9,8.671954887,128.1522222,740
147,85,Orlando,Alcohol,31,Bo,52,5,1087.2,661.27,2,12.79058824,217.44,846
148,185,Columbus,Packagedfood,42,Bo,75,29,1399.1,617.19,1,7.562702703,48.24482759,575
149,287,Columbus,Bakery,47,Veina,128,57,2088.99,906.69,2,7.278710801,36.64894737,693
150,15,Seattle,Pets,8,Bo,12,4,668.1,345.77,35,44.54,167.025,676
151,122,Seattle,Packagedfood,34,Veina,77,7,1267.61,778.96,29,10.3902459,181.0871429,777
152,11,Orlando,Baby,10,Nilima,10,7,585.36,343.44,11,53.21454545,83.62285714,714
153,119,Columbus,Bakery,30,Bo,61,12,1452.42,735.3,4,12.20521008,121.035,585
154,73,Orlando,Alcohol,25,Moone,40,5,961.47,291.78,19,13.17082192,192.294,386
155,73,Seattle,Packagedfood,18,Nilima,32,24,904.74,432,7,12.39369863,37.6975,604
157,94,Columbus,Alcohol,27,Alekto,54,13,948.46,458.63,3,10.09,72.95846154,560
158,297,Denver,Shoes,49,Bo,114,26,1494.98,697.21,1,5.033602694,57.49923077,621
159,259,SanDiego,Shoes,50,Bo,117,29,1587.01,715.5,2,6.127451737,54.72448276,532
160,444,ColoradoSprings,Alcohol,57,Nilima,201,36,1983.45,719.49,1,4.46722973,55.09583333,548
161,75,Columbus,Bakery,29,Bo,35,26,1157.49,425.47,1,15.4332,44.51884615,689
162,237,Columbus,Alcohol,42,Nilima,110,36,1466.77,694.38,3,6.188902954,40.74361111,696
163,61,Denver,Packagedfood,20,Veina,36,7,1076.12,471.47,2,17.64131148,153.7314286,758
164,628,Stockton,Alcohol,59,Veina,189,36,1897.62,881.33,1,3.021687898,52.71166667,815
165,87,Stockton,Alcohol,30,Veina,65,14,1147.5,593.38,5,13.18965517,81.96428571,752
166,124,Orlando,Shoes,40,Bo,67,11,1216.61,623.92,3,9.811370968,110.6009091,586
167,393,Seattle,Shoes,53,Bo,177,53,1894.01,911.84,1,4.819363868,35.73603774,539
168,236,Columbus,Frozenfood,40,Bo,73,22,1398.39,586.54,6,5.925381356,63.56318182,611
169,109,Boston,Pets,33,Bo,47,9,1303.78,790.65,18,11.9612844,144.8644444,747
170,88,Honolulu,Alcohol,28,Bo,56,20,1054.41,472.31,2,11.98193182,52.7205,634
171,126,Orlando,Alcohol,32,Nilima,76,16,1216.8,676.33,8,9.657142857,76.05,714
172,171,Seattle,Bakery,29,Veina,94,13,1562.51,626.94,8,9.13748538,120.1930769,518
173,230,ColoradoSprings,Alcohol,48,Nilima,114,15,1464.89,637.15,2,6.369086957,97.65933333,629
174,293,Jersey,Baby,54,Medeia,117,19,1566.85,771.11,1,5.347610922,82.46578947,752
175,113,Boston,Alcohol,28,Veina,48,10,1144.32,403.43,1,10.12672566,114.432,316
176,322,SanDiego,Shoes,52,Bo,148,14,1535.53,748.91,8,4.768726708,109.6807143,762
177,229,Denver,Alcohol,46,Bo,106,12,1326.08,628.83,9,5.790742358,110.5066667,748
178,58,ColoradoSprings,Baby,18,Veina,25,20,977.77,527.03,2,16.85810345,48.8885,895
179,433,Columbus,Alcohol,53,Bo,160,28,1732.52,745.34,6,4.001200924,61.87571429,504
180,75,Boston,Packagedfood,29,Bo,46,14,977.66,491.92,1,13.03546667,69.83285714,733
181,213,Boston,Packagedfood,37,Bo,103,31,1494.45,645.13,6,7.016197183,48.20806452,728
182,175,Jersey,Shoes,35,Veina,90,23,1243.93,535.85,3,7.108171429,54.08391304,620
183,146,Jersey,Alcohol,41,Bo,74,10,1177.23,599.31,1,8.063219178,117.723,615
184,196,Boston,Alcohol,39,Bo,92,30,1347.07,578.32,1,6.872806122,44.90233333,823
185,366,ColoradoSprings,Bakery,48,Nilima,140,64,1932.86,977.61,5,5.281038251,30.2009375,838
186,195,Honolulu,Frozenfood,45,Bo,113,23,1438.1,664,7,7.374871795,62.52608696,691
187,314,Boston,Alcohol,44,Bo,115,14,1460.43,586.37,1,4.651050955,104.3164286,697
188,650,Honolulu,Alcohol,60,Bo,201,25,1902.38,938.1,4,2.926738462,76.0952,824
189,292,Denver,Alcohol,42,Moone,144,25,1562.1,746.75,1,5.349657534,62.484,614
190,130,Orlando,Alcohol,35,Nilima,71,10,1196.41,539.85,6,9.203153846,119.641,594
192,90,Denver,Frozenfood,26,Bo,44,13,1074.75,526.2,3,11.94166667,82.67307692,652
193,38,Columbus,Baby,14,Bo,21,7,727.28,317.68,1,19.13894737,103.8971429,694
195,185,Columbus,Baby,43,Bo,90,22,1430.82,714.38,1,7.734162162,65.03727273,749
196,117,Honolulu,Frozenfood,29,Medeia,52,22,1191.51,570.97,2,10.18384615,54.15954545,708
198,177,Seattle,Alcohol,33,Bo,69,11,1431.4,596.03,2,8.08700565,130.1272727,462
199,61,Columbus,Shoes,27,Bo,44,6,965.03,520.99,2,15.82016393,160.8383333,542
200,94,Seattle,Bakery,12,Veina,19,66,1221.99,530.76,2,12.99989362,18.515,760
201,122,Columbus,Alcohol,35,Bo,52,12,1266.23,460.6,6,10.37893443,105.5191667,681
202,395,SanDiego,Alcohol,46,Bo,133,39,1682.96,726.36,2,4.260658228,43.15282051,505
203,39,Seattle,Alcohol,24,Bo,26,11,902.64,478.15,2,23.14461538,82.05818182,694
204,197,Honolulu,Bakery,42,Bo,76,20,1389.24,599.43,1,7.051979695,69.462,408
206,34,SanDiego,Frozenfood,19,Veina,25,5,755.2,280.37,4,22.21176471,151.04,621
207,66,Seattle,Shoes,29,Bo,49,17,1121.47,522.65,1,16.9919697,65.96882353,612
208,270,Seattle,Alcohol,54,Bo,139,26,1662.47,946.48,3,6.157296296,63.94115385,843
209,284,Orlando,Shoes,51,Moone,120,12,1673.08,656.94,3,5.891126761,139.4233333,612
210,231,ColoradoSprings,Alcohol,53,Bo,96,23,1547.34,652.49,5,6.698441558,67.27565217,484
211,345,Boston,Baby,50,Bo,145,26,1734.5,867.25,1,5.027536232,66.71153846,769
212,159,Jersey,Freshfood,42,Medeia,84,23,1317.12,588.03,6,8.283773585,57.26608696,553
213,144,Boston,Baby,33,Veina,76,14,1264.35,565.06,3,8.780208333,90.31071429,607
214,135,Denver,Shoes,35,Bo,61,17,1216.51,472.82,1,9.011185185,71.55941176,505
215,223,Honolulu,Baby,46,Bo,119,41,1346.5,529.85,1,6.038116592,32.84146341,586
216,40,Seattle,Baby,12,Veina,15,9,970.08,294.15,4,24.252,107.7866667,421
217,132,Boston,Pets,39,Bo,65,29,1132.18,540.33,2,8.577121212,39.04068966,657
218,271,Boston,Alcohol,38,Bo,91,24,1510.57,632.96,1,5.574059041,62.94041667,752
219,144,Orlando,Shoes,41,Bo,85,16,1405.4,249.01,14,9.759722222,87.8375,326
220,589,Seattle,Alcohol,56,Nilima,190,28,2262.53,1064.69,1,3.841307301,80.80464286,730
221,172,Orlando,Packagedfood,33,Bo,63,16,1302.01,631.18,2,7.569825581,81.375625,741
222,161,Honolulu,Shoes,37,Bo,61,22,1372.27,682.2,4,8.523416149,62.37590909,804
223,95,Columbus,Baby,34,Bo,56,16,1057.08,718.95,1,11.12715789,66.0675,820
224,82,Orlando,Frozenfood,18,Medeia,26,20,1191.09,571.47,8,14.5254878,59.5545,726
226,185,Honolulu,Alcohol,32,Bo,81,32,1416.12,647.44,2,7.654702703,44.25375,554
227,73,Seattle,Shoes,23,Alekto,37,17,1148.61,612.27,3,15.73438356,67.56529412,652
228,164,Orlando,Freshfood,38,Bo,81,13,1370.8,729.63,5,8.358536585,105.4461538,817
229,86,Columbus,Alcohol,32,Bo,49,10,1027.98,513.92,22,11.95325581,102.798,565
230,290,Jersey,Alcohol,53,Bo,130,28,1578.62,652.74,2,5.443517241,56.37928571,583
231,247,Denver,Shoes,47,Bo,97,16,1556.5,684.11,3,6.301619433,97.28125,580
232,165,Columbus,Shoes,37,Bo,84,24,1373.66,592.58,4,8.325212121,57.23583333,515
233,273,Seattle,Bakery,47,Bo,123,45,1665.66,706.1,3,6.101318681,37.01466667,598
235,56,Columbus,Alcohol,22,Alekto,33,23,823.93,466.59,4,14.71303571,35.82304348,589
236,76,Boston,Shoes,31,Bo,42,18,917.88,243.29,2,12.07736842,50.99333333,420
237,173,Jersey,Frozenfood,44,Bo,103,30,1498.72,773.26,8,8.663121387,49.95733333,906
238,121,Columbus,Shoes,32,Bo,49,14,1213.76,620.54,7,10.03107438,86.69714286,876
239,172,Honolulu,Baby,40,Bo,80,16,1318.25,538.26,7,7.664244186,82.390625,605
240,289,Seattle,Frozenfood,44,Bo,149,19,1805.62,1022.49,1,6.247820069,95.03263158,889
241,272,Boston,Bakery,45,Veina,120,22,2002.1,979.75,2,7.360661765,91.00454545,780
242,116,ColoradoSprings,Baby,32,Bo,65,21,1213.79,610.78,4,10.4637069,57.79952381,800
243,4,Columbus,Baby,2,Veina,3,2,465.83,273.55,33,116.4575,232.915,653
244,320,Columbus,Packagedfood,55,Bo,132,41,1646.5,606.44,1,5.1453125,40.15853659,494
245,336,Seattle,Frozenfood,48,Medeia,96,25,1723.7,580,3,5.130059524,68.948,544
246,261,Columbus,Shoes,49,Veina,117,36,1557.69,656.41,1,5.96816092,43.26916667,574
247,299,Orlando,Pets,47,Bo,119,22,1583.88,749.32,2,5.297257525,71.99454545,920
248,91,Boston,Shoes,40,Veina,62,19,1107.41,536.64,5,12.16934066,58.28473684,620
249,342,Honolulu,Alcohol,43,Tanvi,85,11,1662.65,977.79,6,4.861549708,151.15,871
250,128,Boston,Shoes,38,Bo,79,11,1320.21,576.58,2,10.31414063,120.0190909,553
253,69,Orlando,Packagedfood,28,Bo,48,24,1026.73,562.25,6,14.88014493,42.78041667,611
254,256,Columbus,Baby,48,Bo,85,61,1501.22,721.42,1,5.864140625,24.61016393,747
255,162,Boston,Clothes,30,Tanvi,71,8,1391.71,705.47,6,8.590802469,173.96375,658
256,316,Seattle,Alcohol,42,Nilima,102,24,1474.5,650.77,2,4.666139241,61.4375,599
257,262,Honolulu,Alcohol,48,Bo,96,37,1550.94,709.34,1,5.919618321,41.9172973,514
258,146,ColoradoSprings,Baby,39,Veina,65,27,1265.81,621.8,1,8.669931507,46.88185185,689
259,16,Denver,Frozenfood,10,Veina,12,5,691.42,140.78,2,43.21375,138.284,343
260,143,Seattle,Pets,43,Bo,74,9,1279.38,493.08,1,8.946713287,142.1533333,325
261,198,Boston,Shoes,41,Veina,87,42,1460.03,673.14,5,7.373888889,34.76261905,706
262,195,Orlando,Frozenfood,34,Bo,97,36,1290.37,559.36,4,6.617282051,35.84361111,668
263,184,Columbus,Freshfood,39,Bo,85,16,1431.95,581.3,1,7.782336957,89.496875,580
264,90,ColoradoSprings,Frozenfood,31,Bo,52,19,1110.06,494.98,6,12.334,58.42421053,831
265,158,Columbus,Beverages,45,Nilima,85,13,1236.75,654.77,16,7.827531646,95.13461538,784
266,16,Columbus,Beverages,10,Bo,10,6,547.77,262.85,18,34.235625,91.295,607
267,75,Denver,Alcohol,33,Bo,51,10,1000.67,343.33,7,13.34226667,100.067,640
268,286,Seattle,Baby,47,Bo,134,38,1626.8,972.45,5,5.688111888,42.81052632,896
269,30,Orlando,Clothes,12,Veina,17,7,778.61,300.63,5,25.95366667,111.23,740
270,344,Boston,Alcohol,52,Bo,130,13,1535.33,670.3,3,4.463168605,118.1023077,669
271,73,Columbus,Packagedfood,29,Bo,32,16,916.07,425.86,2,12.54890411,57.254375,624
272,42,Columbus,Shoes,21,Bo,23,13,785.4,551.85,1,18.7,60.41538462,901
273,447,Columbus,Alcohol,63,Bo,193,44,1880.52,879.37,3,4.206979866,42.73909091,528
274,539,Seattle,Pets,55,Bo,175,42,1941.61,857.42,1,3.602244898,46.22880952,661
275,48,ColoradoSprings,Frozenfood,21,Veina,34,14,840.99,197.21,2,17.520625,60.07071429,443
276,60,Seattle,Alcohol,25,Nilima,39,11,939.9,513.94,1,15.665,85.44545455,687
277,98,Columbus,Packagedfood,21,Nilima,32,13,1195.86,612.96,4,12.20265306,91.98923077,652
278,39,ColoradoSprings,Baby,16,Moone,22,9,578.05,269.57,6,14.82179487,64.22777778,729
279,95,ColoradoSprings,Bakery,31,Bo,50,12,1112.96,492.52,2,11.71536842,92.74666667,473
281,75,Honolulu,Shoes,21,Bo,32,4,1100.71,604.49,2,14.67613333,275.1775,697
282,407,Seattle,Alcohol,48,Bo,140,33,1888.01,794.91,10,4.638845209,57.21242424,335
283,285,Jersey,Baby,51,Veina,132,19,1795.29,861.68,7,6.299263158,94.48894737,666
284,593,Honolulu,Baby,60,Bo,223,24,2085.21,733.69,2,3.516374368,86.88375,400
285,181,ColoradoSprings,Frozenfood,39,Bo,105,13,1467.8,516.42,6,8.109392265,112.9076923,534
286,193,Orlando,Shoes,42,Bo,98,25,1394.39,389.1,6,7.224818653,55.7756,403
287,193,Boston,Frozenfood,37,Bo,80,21,1402.4,745.15,3,7.266321244,66.78095238,761
288,246,Boston,Pets,50,Bo,115,20,1719.8,657.71,7,6.991056911,85.99,615
289,312,Boston,Shoes,51,Bo,114,23,1534.33,688.27,1,4.917724359,66.71,708
290,299,SanDiego,Beverages,58,Bo,146,36,1747.49,502.07,1,5.844448161,48.54138889,372
291,445,Orlando,Shoes,57,Bo,122,18,1843.57,740.42,2,4.142853933,102.4205556,745
292,30,Boston,Alcohol,14,Bo,23,3,857.51,442.68,18,28.58366667,285.8366667,381
293,332,Columbus,Alcohol,52,Bo,153,15,1713.05,487,8,5.159789157,114.2033333,387
294,283,Orlando,Alcohol,48,Bo,126,42,1404.41,639.09,4,4.962579505,33.43833333,614
295,220,Denver,Alcohol,42,Bo,113,15,1406.32,845.69,1,6.392363636,93.75466667,746
296,197,Boston,Shoes,43,Bo,68,29,1552.09,700.51,4,7.878629442,53.52034483,623
297,483,Boston,Alcohol,51,Bo,124,13,1867.3,853.17,7,3.866045549,143.6384615,597
298,146,SanDiego,Packagedfood,28,Veina,51,28,1209.71,560.99,1,8.285684932,43.20392857,628
299,307,Seattle,Alcohol,49,Bo,140,23,1653.04,805.48,1,5.384495114,71.87130435,832
300,170,Seattle,Frozenfood,43,Bo,93,14,1271.97,677.29,3,7.482176471,90.855,711
301,265,Seattle,Bakery,50,Bo,123,24,1594.24,775.47,7,6.016,66.42666667,866
