"","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec.."
"29176","CHRIST (IN PROFILE) (plate, facing page 78) from PASSION","Georges Rouault","5053","(French, 1871–1958)","(French)","(1871)","(1958)","(Male)","1928-1939","Aquatint, lift ground aquatint, soft ground etching, and engraving with roulette, printed in color","plate  12 1/2 x 8 7/16"" (31.7 x 21.5 cm)","The Louis E. Stern Collection","1044.1964.54","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",30549,NA,NA,NA,NA,NA,31.7,NA,NA,21.5,NA,NA
"89056","Father","Unknown Director","31891",NA,"()","(0)","(0)","()",NA,"1 sheet","40 x 29 3/4"" (101.6 x 75.6 cm)","Purchase","1090.2005","Work on Paper","Film","2005-07-01","N",105954,NA,NA,NA,NA,NA,101.6002,NA,NA,75.5652,NA,NA
"70634","Summer - (Girl Leaning Against a Tree)","Yasuo Kuniyoshi","3296","(American, 1889–1953)","(American)","(1889)","(1953)","(Male)","1927","Lithograph","composition: 14 3/16 x 10 1/16"" (36 x 25.5cm); sheet: 16 x 11 5/16"" (40.6 x 28.7 cm)","Gift of Abby Aldrich Rockefeller","1129.1940","Print","Prints & Illustrated Books",NA,"Y",75740,"http://www.moma.org/collection/works/75740","http://www.moma.org/media/W1siZiIsIjE2NjAxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=30e51e9a391a2dd8",NA,NA,NA,36,NA,NA,25.5,NA,NA
"5621","Aeroshell Lubricating Oil, The Aristocrat of Lubricants","E. McKnight Kauffer","3020","(American, 1890–1954)","(American)","(1890)","(1954)","(Male)","1932","Lithograph","30 x 45"" (76.2 x 114.3 cm)","Gift of Shell - Mex B P","376.1937","Design","Architecture & Design","1937-11-22","Y",6755,"http://www.moma.org/collection/works/6755","http://www.moma.org/media/W1siZiIsIjU4NjUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d8aae2eb08d68336",NA,NA,NA,76.2,NA,NA,114.3,NA,NA
"62019","Untitled","Frans van der Steen","6073","(Dutch)","(Dutch)","(0)","(0)","(Male)","1975","Etching","Plate 17 7/8 x 17 11/16"" (45.4 x 44.9  cm) Sheet 30 x 22 5/16"" (76.2 x 56.7 cm)","Janet K. Ruttenberg Fund","291.1975","Print","Prints & Illustrated Books","1975-10-07","Y",66199,"http://www.moma.org/collection/works/66199","http://www.moma.org/media/W1siZiIsIjI0OTQ0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8c5d490902987c4f",NA,NA,NA,45.4,NA,NA,44.9,NA,NA
"64853","Untitled, plate 8, third version, state XI, from He Disappeared into Complete Silence","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","(1946-1947)","Engraving","plate: 6 15/16 x 4 7/8"" (17.6 x 12.4 cm); sheet: 9 15/16 x 13 1/8"" (25 x 33.3 cm)","Gift of the artist","449.1993","Print","Prints & Illustrated Books","1993-11-17","N",69321,NA,NA,NA,NA,NA,17.6,NA,NA,12.4,NA,NA
"60171","Untitled","Bruce Nauman","4243","(American, born 1941)","(American)","(1941)","(0)","(Male)","1971","Lithograph","composition and sheet: 22 1/2 × 28"" (57.1 × 71.1 cm)","John B. Turner Fund","194.1986","Print","Prints & Illustrated Books","1986-05-20","Y",64165,"http://www.moma.org/collection/works/64165","http://www.moma.org/media/W1siZiIsIjMzNTg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a3e7d084c8b1a3fe",NA,NA,NA,57.1,NA,NA,71.1,NA,NA
"124313","Painter [Heinrich Hoerle]","August Sander","5145","(German, 1876–1964)","(German)","(1876)","(1964)","(Male)","1928","Gelatin silver print","10 3/16 x 7 3/8"" (25.8 x 18.7 cm)","Acquired through the generosity of the family of August Sander","472.2015.426","Photograph","Photography","2015-05-28","Y",194058,"http://www.moma.org/collection/works/194058","http://www.moma.org/media/W1siZiIsIjMyOTIyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c9daa94f727b2900",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27307","Plate (page 1) from POÈMES","Henri Matisse","3832","(French, 1869–1954)","(French)","(1869)","(1954)","(Male)","1942-1950",NA,"irreg. composition  16 x 10 1/4"" (40.7 x 26 cm)","The Louis E. Stern Collection","934.1964.1","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",28680,NA,NA,NA,NA,NA,40.7,NA,NA,26,NA,NA
"100129","Broken Leaf from Femfolio","Nancy Azara","38008","(American, born 1939)","(American)","(1939)","(0)","(Female)","2009","Digital print with lithography and pochoir from a portfolio of 19 digital prints (12 with lithography, 1 with pochoir, 1 with hand coloring, and 1 with gold dusting) and 1 lithograph","composition: 11 13/16 x 11 5/16"" (30 x 28.7 cm); sheet: 11 15/16 x 12"" (30.3 x 30.5 cm)","Gift of Ann and Lee Fensterstock in honor of Momenta Art","113.2010.3","Print","Prints & Illustrated Books","2010-03-09","Y",134562,"http://www.moma.org/collection/works/134562","http://www.moma.org/media/W1siZiIsIjE4OTU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=29445359260cc56e",NA,NA,NA,30,NA,NA,28.7,NA,NA
"124190","Military Height Differences","August Sander","5145","(German, 1876–1964)","(German)","(1876)","(1964)","(Male)","1915","Gelatin silver print","10 3/16 x 7 3/8"" (25.8 x 18.7 cm)","Acquired through the generosity of the family of August Sander","472.2015.303","Photograph","Photography","2015-05-28","Y",193935,"http://www.moma.org/collection/works/193935","http://www.moma.org/media/W1siZiIsIjMyOTE0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cba8c983985759a0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83458","Mullerpile","Dave Muller","28099","(American, born 1964)","(American)","(1964)","(0)","(Male)","September 3, 2004","Watercolor and synthetic polymer paint on four sheets of paper","Each: 27 1/4 x 57 1/2"" (69.2 x 146.1 cm)
Overall: 120 x 60"" (304.8 x 152.4 cm)","Fractional and promised gift of David Teiger","98.2005.a-d","Drawing","Drawings","2005-02-08","Y",94769,"http://www.moma.org/collection/works/94769","http://www.moma.org/media/W1siZiIsIjk3MjAwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=f446c28d7ce8301e",NA,NA,NA,304.8006,NA,NA,152.4003,NA,NA
"128140","Peru","Robert Frank","1973","(American, born Switzerland 1924)","(American)","(1924)","(0)","(Male)","1948","Gelatin silver print","7 × 13 1/4"" (17.8 × 33.7 cm)","Purchase","289.2016","Photograph","Photography",NA,"N",203374,NA,NA,NA,NA,NA,17.7800355601,NA,NA,33.6550673101,NA,NA
"77506","Dismemberment","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1994","Drypoint and roulette","plate: 6 15/16 x 4 15/16"" (17.6 x 12.6 cm); sheet: 17 15/16 x 13 3/8"" (45.5 x 34 cm)","Gift of the artist","651.2008","Print","Prints & Illustrated Books","2008-06-18","Y",84202,"http://www.moma.org/collection/works/84202","http://www.moma.org/media/W1siZiIsIjI2ODA2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a9663fa015ac380",NA,NA,NA,17.6,NA,NA,12.6,NA,NA
"63072","Springtime (Printemps) from  L'Estampe Moderne, Number 5","Maurice Eliot","6666","(Nationality unknown)","(Nationality unknown)","(0)","(0)","(Male)","published September 1897","Lithograph from a portfolio of four lithographs","composition: 13 1/4 x 9 5/16"" (33.6 x 23.7 cm); sheet: 15 3/4 x 12 1/16"" (40 x 30.6 cm)","Gift of Mr. and Mrs. E. Powis Jones","346.1958.1","Print","Prints & Illustrated Books","1958-12-19","N",67378,NA,NA,NA,NA,NA,33.6,NA,NA,23.7,NA,NA
"53006","Seville, Spain","Henri Cartier-Bresson","1000","(French, 1908–2004)","(French)","(1908)","(2004)","(Male)","1933","Gelatin silver print, printed 1930s","7 9/16 x 11 3/8"" (19.3 x 28.9 cm)","Gift of James Thrall Soby","692.1943","Photograph","Photography","1943-11-04","Y",56129,"http://www.moma.org/collection/works/56129","http://www.moma.org/media/W1siZiIsIjE0NDM4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81a90122c73f9841",NA,NA,NA,19.3,NA,NA,28.9,NA,NA
"27496","In-text plate (page 93) from LETTRES","Henri Matisse","3832","(French, 1869–1954)","(French)","(1869)","(1954)","(Male)","1945-1946",NA,"irreg. composition  4 5/16 x 7 9/16"" (10.9 x 19.2 cm)","The Louis E. Stern Collection","936.1964.65","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",28869,NA,NA,NA,NA,NA,10.9,NA,NA,19.2,NA,NA
"55617","Italian and Serbian Prisoners of War","Underwood and Underwood","6008","(American, active 1880–1934)","(American)","(1880)","(1934)","()","1919","Gelatin silver print","6 9/16 x 8 1/4"" (16.7 x 20.9 cm)","The New York Times Collection","2206.2001","Photograph","Photography","2001-06-14","Y",58799,"http://www.moma.org/collection/works/58799","http://www.moma.org/media/W1siZiIsIjIzNTUzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a9de0138f9b373c8",NA,NA,NA,16.7,NA,NA,20.9,NA,NA
"28417","Plate (page 135) from the illustrated book Carmen","Pablo Picasso","4609","(Spanish, 1881–1973)","(Spanish)","(1881)","(1973)","(Male)","1948-1949","Engraving","composition (irreg.): 8 1/4 x 6 7/16"" (20.9 x 16.3 cm); page: 13 x 10 3/16"" (33 x 25.8 cm)","The Louis E. Stern Collection","993.1964.30","Illustrated Book","Prints & Illustrated Books","1964-10-06","Y",29790,"http://www.moma.org/collection/works/29790","http://www.moma.org/media/W1siZiIsIjE3NDIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c20d3c50827651b4",NA,NA,NA,20.9,NA,NA,16.3,NA,NA
"89684","Stool (Plan, sde elevation, detail section)","Ludwig Mies van der Rohe","7166","(American, born Germany. 1886–1969)","(American)","(1886)","(1969)","(Male)","1931-1932","Ink and colored ink on vellum","39 1/4 x 28 1/4"" (99.7 x 71.8 cm)","Mies van der Rohe Archive, gift of the architect","956.1974","Mies van der Rohe Archive","Architecture & Design","1974-11-06","N",106684,NA,NA,NA,NA,NA,99.6952,NA,NA,71.7551,NA,NA
"118929","Untitled, no. 37 of 69, from the illustrated book, Album","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1994","Photolithograph","page: 8 1/4 x 10 1/2"" (21 x 26.6 cm)","Gift of the artist","196.1997.37","Illustrated Book","Prints & Illustrated Books","1997-05-28","Y",177975,"http://www.moma.org/collection/works/177975","http://www.moma.org/media/W1siZiIsIjMwMTAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=798859c8b1782820",NA,NA,NA,21,NA,NA,26.6,NA,NA
"30165","HOUSE, AMALFI, plate XV (page 63) from A BOOK OF TOWERS AND OTHER BUILDINGS OF SOUTHERN EUROPE","Richard Wyndham","6468","(British, 1896–1948)","(British)","(1896)","(1948)","(Male)","1928",NA,"plate  4 13/16 x 3 1/8"" (12.2 x 8 cm)","The Louis E. Stern Collection","1095.1964.17","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",31539,NA,NA,NA,NA,NA,12.2,NA,NA,8,NA,NA
"48419","Dr. Dürr, Director and Head Engineer Of The Work","Unknown photographer","8595",NA,"()","(0)","(0)","()","c. 1926",NA,"8 5/8 x 6 1/4"" (21.9 x 16.0 cm)","Gift of the Grandchildren of Daniel E. Cahill","347.1975.14","Photograph","Photography",NA,"N",51410,NA,NA,NA,NA,NA,21.9,NA,NA,16,NA,NA
"117098","Moulin Rouge","Ilse Bing","561","(American, born Germany. 1899–1998)","(American)","(1899)","(1998)","(Female)","1931","Gelatin silver print","11 7/16 x 13 9/16"" (29 x 34.5 cm)","Bequest of Ilse Bing Wolff","888.2013","Photograph","Photography","2013-10-24","Y",173491,"http://www.moma.org/collection/works/173491","http://www.moma.org/media/W1siZiIsIjI4NDc3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2e9c2bd2bbba4c39",NA,NA,NA,29,NA,NA,34.5,NA,NA
"79345","_Untitled_","Colin Self","5334","(British, born 1941)","(British)","(1941)","(0)","(Male)","1968",NA,NA,"The Celeste and Armand Bartos Foundation Fund","482.1969.5","Print","Prints & Illustrated Books",NA,"N",86548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88732","Untitled (11.13.01 Wynn Kramarsky 14:50)","William Anastasi","155","(American, born 1933)","(American)","(1933)","(0)","(Male)","2001","Ballpoint pen on paper","9 x 12 1/8"" (22.9 x 30.8 cm)","Gift of Sarah-Ann and Werner H. Kramarsky","582.2006","Drawing","Drawings","2006-10-10","Y",105058,"http://www.moma.org/collection/works/105058","http://www.moma.org/media/W1siZiIsIjI4NjM2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aa99d837ef9e789a",NA,NA,NA,22.86,NA,NA,30.7976,NA,NA
"80333","Lounge Chair without Arms. Seat Webbing. (Elevation sketches)","Ludwig Mies van der Rohe","7166","(American, born Germany. 1886–1969)","(American)","(1886)","(1969)","(Male)","early 1930s","Pencil on paper","13 x 8 1/4"" (33 x 21 cm)","Mies van der Rohe Archive, gift of the architect","1189.1974","Mies van der Rohe Archive","Architecture & Design","1974-11-06","Y",87937,"http://www.moma.org/collection/works/87937","http://www.moma.org/media/W1siZiIsIjIyMjE0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=61d8cca97950923f",NA,NA,NA,33,NA,NA,21,NA,NA
"3687","Post-it® Note","Art Fry, Spencer Silver","8432, 23346","(American, born 1931) (American, born 1941)","(American) (American)","(1931) (1941)","(0) (0)","(Male) (Male)","c. 1977","Paper and adhesive","2 7/8 x 2 7/8"" (7.3 x 7.3 cm)","Purchase","1426.2000","Design","Architecture & Design","2000-12-11","Y",4720,"http://www.moma.org/collection/works/4720","http://www.moma.org/media/W1siZiIsIjIzMDE3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d1d55dcf473e0f32",NA,NA,NA,7.3025,NA,NA,7.3025,NA,NA
"53306","Vladimir Mayakovsky","Aleksandr Rodchenko","4975","(Russian, 1891–1956)","(Russian)","(1891)","(1956)","(Male)","1924","Gelatin silver print","11 5/8 x 8 3/16"" (29.5 x 20.8 cm)","Gift of the Rodchenko family","794.1998","Photograph","Photography","1998-12-10","Y",56434,"http://www.moma.org/collection/works/56434","http://www.moma.org/media/W1siZiIsIjE5MDcxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1e87d7d2525b51d3",NA,NA,NA,29.5,NA,NA,20.8,NA,NA
"113735","Untitled","Luigi Ghirri","39882","(Italian, 1943–1992)","(Italian)","(1943)","(1992)","(Male)","1970s","Chromogenic color print","4 13/16 x 6 7/8"" (12.2 x 17.5 cm)","Gift of the artist","453.2013.29","Photograph","Photography","2013-05-09","Y",165420,"http://www.moma.org/collection/works/165420","http://www.moma.org/media/W1siZiIsIjI3MTg0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6bbb904e2a1058af",NA,NA,NA,12.2,NA,NA,17.5,NA,NA
"51507","Old Age Home Near Fort Wayne, Indiana","Dan Weiner","6287","(American, 1919–1959)","(American)","(1919)","(1959)","(Male)","1951","Gelatin silver print","9 11/16 x 13 7/16"" (24.6 x 34.1 cm)","Gift of Sandra Weiner","514.1994","Photograph","Photography","1994-10-13","Y",54598,"http://www.moma.org/collection/works/54598","http://www.moma.org/media/W1siZiIsIjE5MjY4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d100ad8ae41ec707",NA,NA,NA,24.6,NA,NA,34.1,NA,NA
"111828","ABC Trailers",NA,NA,NA,NA,NA,NA,NA,NA,"16mm film (black and white, sound)",NA,NA,"F2012.804","Film","Film","2003-07-21","N",162019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113847","Week End","Luigi Ghirri","39882","(Italian, 1943–1992)","(Italian)","(1943)","(1992)","(Male)","1973","Chromogenic color print",NA,"Gift of the artist","454.2013.2","Photograph","Photography","2013-05-09","Y",165691,"http://www.moma.org/collection/works/165691","http://www.moma.org/media/W1siZiIsIjI3MTg3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f91374b583dc99c",NA,7.5,NA,42.5,NA,NA,32.5,NA,NA
"94073","Untitled, plate 10 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1995","Photogravure and engraving","plate: 7 3/16 x 5 1/8"" (18.2 x 13 cm); sheet: 11 1/8 x 8 1/8"" (28.2 x 20.6 cm)","Gift of the artist","1372.2008","Print","Prints & Illustrated Books","2008-10-08","Y",119430,"http://www.moma.org/collection/works/119430","http://www.moma.org/media/W1siZiIsIjE1NjMwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c2035ce2cb40747",NA,NA,NA,18.2,NA,NA,13,NA,NA
"124692","Cash from Chaos/Unicorns and Rainbows","Alex Bag, Patterson Beckwith","47579, 47578","(American, born 1969) (American, born 1972)","(American) (American)","(1969) (1972)","(0) (0)","(Female) (Male)","1994-97","Multi-channel video (color, sound)","Duration variable","Acquired through the generosity of Jill and Peter Kraus","259.2015.25","Video","Media and Performance Art","2015-03-30","Y",194847,"http://www.moma.org/collection/works/194847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44132","Untitled","Frederick Sommer","5520","(American, born Italy. 1905–1999)","(American)","(1905)","(1999)","(Male)","1940","Gelatin silver print","9 1/2 x 7 1/2"" (24.1 x 19.3 cm)","Nelson A. Rockefeller Fund","154.1969","Photograph","Photography","1969-03-05","Y",46962,"http://www.moma.org/collection/works/46962","http://www.moma.org/media/W1siZiIsIjE4OTc0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=25c68deece47bdbc",NA,NA,NA,24.1,NA,NA,19.3,NA,NA
"105052","Die Aktion, vol. 8, no. 1/2","Otto Freundlich, Ottheinrich Strohmeyer, Josef Capek, Heinrich Hoerle, Katharina Heise (Karl Luis Heinrich-Salze), Karl Jacob Hirsch","1996, 41158, 958, 27139, 41157, 36727","(German, 1878–1943) (Czech, 1887–1945) (German, 1896–1936) (German, 1891–1964) (German, 1892–1952)","(German) () (Czech) (German) (German) (German)","(1878) (0) (1887) (1896) (1891) (1892)","(1943) (0) (1945) (1936) (1964) (1952)","(Male) () (Male) (Male) (Female) (Male)","January 12, 1918","Periodical with six woodcuts; cover by Otto Freundlich, additional prints by Ottheinrich Strohmeyer, Josef Capek, Heinrich Hoerle, Katharina Heise (Karl Luis Heinrich-Salze), and Karl Jacob Hirsch","page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)","Committee on Prints and Illustrated Books Fund and The Library Council","947.2010.225.1-6","Periodical","Prints & Illustrated Books","2010-11-10","Y",144430,"http://www.moma.org/collection/works/144430","http://www.moma.org/media/W1siZiIsIjI0NTQ2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=357dd32fc15ed77b",NA,NA,NA,30.8,NA,NA,23.2,NA,NA
"63024","Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti)","Dieudonne Cedor","7734","(Haitian, 1925–2010)","(Haitian)","(1925)","(2010)","(Male)","1947","Woodcut","composition: 5 13/16 x 5 9/16"" (14.8 x 14.1 cm); sheet (irreg.): 9 5/8 x 7 15/16"" (24.5 x 20.2 cm)","Inter-American Fund","344.1947.4","Print","Prints & Illustrated Books","1947-12-19","Y",67329,"http://www.moma.org/collection/works/67329","http://www.moma.org/media/W1siZiIsIjIzMzk4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=644e993c52e6862b",NA,NA,NA,14.8,NA,NA,14.1,NA,NA
"101456","Mechanical for Dirty Water","Ben Vautier, George Maciunas","6115, 21398","(French, born Italy 1935) (American, born Lithuania. 1931–1978)","(French) (American)","(1935) (1931)","(0) (1978)","(Male) (Male)","c. 1966",NA,"4 5/8 x 3"" (11.7 x 7.6 cm)","The Gilbert and Lila Silverman Fluxus Collection Gift","FC3053","(not assigned)","Fluxus Collection","2008-10-08","N",136791,NA,NA,NA,0,NA,11.7,NA,NA,7.6,NA,NA
"86150","Untitled from Fabricated Cultural Belief Systems","Ryan McGinness","25412","(American, born 1972)","(American)","(1972)","(0)","(Male)","2004","One from a series of 100 screenprints","sheet: 40 x 26 1/2"" (101.6 x 67.3 cm)","Fund for the Twenty-First Century","207.2005.11","Print","Prints & Illustrated Books","2005-03-08","Y",98060,"http://www.moma.org/collection/works/98060","http://www.moma.org/media/W1siZiIsIjI3NjM0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1197f04f9efaa24a",NA,0,NA,101.6002,NA,NA,67.3101,NA,NA
